NOTE: THIS LOG IS OBSOLETE AND IS REPLACED BY http://www.eclipse.org/gmf/development/ipquery.php
Committers (Section 1)
ahunter
atikhomirov
crevells
fplante
mfeldman
rgronback
sshaw
vramaswamy
ldamus
mmostafa
dstadnik
ashatalin
rdvorak
Developers (Section 2),,,,,,
,bug #,name,key,committer,size,description
org.eclipse.gmf.codegen,111825,Christian Vogt,cvogt,ahunter,879 bytes,Cannot Re-root Former Roots of a Logical Resource
org.eclipse.gmf.codegen,111825,Christian Vogt,cvogt,ahunter,3.12 KB,Cannot Re-root Former Roots of a Logical Resource
org.eclipse.gmf.runtime.emf.core,111902,Tom MacDougall,tmacdoug,cmahoney,1017 LOC,Usability:  Some diagrams may be hard to see when the grid is visible
org.eclipse.gmf.tests.runtime.emf.core,111952,Cherie Mahoney,cmahoney,sshaw,small,Connector handles do not appear when hovering over compartments
Runtime Diagram,112174,Dmitri Stadnik,dstadnik,atikhomirov,69.77 KB,Generate constants for the link labels view types
org.eclipse.gmf.runtime.diagram.ui,112176,Dmitri Stadnik,dstadnik,atikhomirov,57.15 KB,Support reference based links
org.eclipse.gmf.codegen,112185,Dmitri Stadnik,dstadnik,atikhomirov,365 LOC,Generate constants for the link labels view types
org.eclipse.gmf.codegen,112194,Dmitri Stadnik,dstadnik,atikhomirov,79.95 KB,Support weights of label links
org.eclipse.gmf.codegen,112195,Dmitri Stadnik,dstadnik,atikhomirov,6.95 KB,Support multiple labels for the node
org.eclipse.gmf.codegen,112227,Tom MacDougall,tmacdoug,sshaw,small,The TextDirectEditManager should not show feedback for edit parts that are not active
org.eclipse.gmf.codegen,112313,Dmitri Stadnik,dstadnik,atikhomirov,3.08 KB,There should be no compilation errors when node default size is specified in the gmfgen model
Runtime Common,112342,Wayne Diu,wdiu,sshaw,37 LOC,Dropdown list sizes in diagram toolbar comboboxes are too small and require scrolling
org.eclipse.gmf.runtime.diagram.ui,112407,Wayne Diu,wdiu,ahunter,111 LOC,Enhanced printing doesn't work
org.eclipse.gmf.codegen,112453,Dmitri Stadnik,dstadnik,ldamus,1.02 KB,"SemanticCreateCommand should not fail when empty list is returned as a result of ""real"" command execution"
Runtime Common,112505,Radek Dvorak,rdvorak,atikhomirov,1678 LOC,Add domain element type specifialization for mappings in gmfmap metamodel
org.eclipse.gmf.runtime.diagram.ui,112516,Christian Damus,cdamus,ahunter,89 LOC,Cut/paste does not protect against duplication of EObject IDs
Definition,112521,Cherie Mahoney,cmahoney,sshaw,300 LOC,Diagram Assistants should not appear if editor is not active
Runtime EMF,112531,Christian Damus,cdamus,vramaswamy,389 LOC,MSLResource Inconsistent with Modification Tracking API
Runtime Diagram,112664,Alexander Shatalin,ashatalin,atikhomirov,182 LOC,Create link described by GenLinkReferenceOnly instances in InitDiagramFileAction
Runtime EMF,112764,Dmitri Stadnik,dstadnik,atikhomirov,2.81 KB,Update method signature in diagram editor that creates palette
Templates,112773,Radek Dvorak,rdvorak,atikhomirov,1698,Provide mapping support for custom initialization of domain model elements
org.eclipse.gmf.codegen,112776,Alexander Shatalin,ashatalin,atikhomirov,16 LOC,Correctly import ElementTypes into InitDiagramFileAction
Runtime Diagram,112794,Eliza Tworkowska,etworkow,ahunter,72 LOC,Adopt ICU4J as part of Eclipse 3.2
Definition,112797,Wayne Diu,wdiu,ahunter,58 LOC,Deprecate the use of fragments for service providers
Templates,112831,Wayne Diu,wdiu,ahunter,2 LOC,org.eclipse.gmf.runtime.diagram.ui.printing's build.properties is missing the icons directory
Runtime Common,112855,Cherie Mahoney,cmahoney,sshaw,2 LOC,Duplicate should be enabled on shape compartment editparts
Runtime Diagram,112900,Dmitri Stadnik,dstadnik,atikhomirov,97.85 KB,Generate metamodel support provider
Runtime Diagram,112901,Dmitri Stadnik,dstadnik,atikhomirov,88.37 KB,Generate modeling assistant provider
org.eclipse.gmf.codegen,112940,Eliza Tworkowska,etworkow,ahunter,43 LOC,Page Setup Dialog usability enhancements
org.eclipse.gmf.codegen,112964,Chris McGee,cmcgee,vramaswamy,33 LOC,UnsupportedOperationException thrown when dragging model element in MSL Library Model Editor
Runtime Common,112966,Christian Vogt,cvogt,sshaw,14 LOC,MSL Clipboard: Able to paste model element into non-containment feature
Examples,112983,Alex Boyko,aboyko,mmostafa,8 LOC,*** NOTE: wrong bug # in comment *** When switching to outline mode (tree) the nodes of the tree are missing
Runtime EMF,112987,Tom MacDougall,tmacdoug,sshaw,61 LOC,changing the Fill color and the Font on the LogicDiagram Preferences does not work
Runtime EMF,112988,Alexander Shatalin,ashatalin,atikhomirov,659 LOC,"Consider ""Same File For Diagram and Model"" GenDiagram property in generation process"
Runtime Diagram,112990,Tom MacDougall,tmacdoug,sshaw,3 LOC,The Logic Diagram does not repect the Anti-Aliasing Preference or the Ruler Units
Generation,112995,Alexander Shatalin,ashatalin,atikhomirov,91 LOC,"Set ""Domain Link Target Feature"" feature value to the desired link destination on creating LinkWithClass"
Runtime Diagram,113074,Dmitri Stadnik,dstadnik,atikhomirov,8.92 KB,Generate custom diagram action bar contributor
Generation,113079,Cherie Mahoney,cmahoney,sshaw,5 LOC,Failing JUnit: org.eclipse.gmf.tests.runtime.diagram.ui.logic.DiagramAssistantTests
org.eclipse.gmf.codegen,113084,Eliza Tworkowska,etworkow,ahunter,37 LOC,Page Setup: Margins value change when switching between inches and millimeters
Runtime Diagram,113092,Christian Damus,cdamus,ahunter,6 LOC,o.e.g.tests.runtime.emf.core do not run
Runtime Common,113157,Cherie Mahoney,cmahoney,sshaw,20500 LOC,API naming issues: ensure proper naming of public API
Runtime EMF,113213,Dmitri Stadnik,dstadnik,atikhomirov,49.65 KB,Provide support for the common actions in generated diagram editor
Runtime Diagram,113224,Radek Dvorak,rdvorak,atikhomirov,2356 LOC,Generate custom initialization code for domain model elements
org.eclipse.gmf.codegen,113254,Tom MacDougall,tmacdoug,sshaw,21 LOC,Need gdiplus library to open a diagram
Generation,113258,Alexander Shatalin,ashatalin,atikhomirov,55.85 KB,Delete underlying domain model element while removing visual element
Runtime Diagram,113261,Christian Damus,cdamus,vramaswamy,29 LOC,Incorrect redo behavior of Add where element has settable container feature
org.eclipse.gmf.codegen,113265,Tom MacDougall,tmacdoug,sshaw,9 LOC,Oblique router can cause a cycle when dragging a connector off the viewport
Runtime EMF,113522,Radek Dvorak,rdvorak,atikhomirov,208 LOC,ElementInitializers use incorrect context for init expression evaluation
Runtime Diagram,113525,Dmitri Stadnik,dstadnik,atikhomirov,,Use link model facets in templates to generate code
Templates,113540,S Cowan,scowan,vramaswamy,225 LOC,Need defense against potential duplicate UUIDs
org.eclipse.gmf.codegen,113561,Alexander Shatalin,ashatalin,atikhomirov,,Use MEditingDomain.getImports() method in DocumentProvider
Runtime EMF,113647,Radek Dvorak,rdvorak,atikhomirov,443 LOC,"Merging VisualIDRegistry with PartSelectors, ElementTypes with ElementInitializers"
org.eclipse.gmf.codegen,113768,Dmitri Stadnik,dstadnik,atikhomirov,8 LOC,Generate unique visual ids for compartment elements
Templates,113799,Dmitri Stadnik,dstadnik,atikhomirov,6 LOC,Diagram generation model should be valid when default link label alignment is specified (alignment=MIDDLE)
Generation,113803,Dmitri Stadnik,dstadnik,atikhomirov,37 LOC,Set diagram runtime class property for the child containers and labels in generation model
Generation,113824,Dmitri Stadnik,dstadnik,atikhomirov,699 LOC,"Diagram generation model: setup viewmaps for the child containers, diagram and labels"
Generation,113856,Radek Dvorak,rdvorak,atikhomirov,713 LOC,Refactor out GenBaseElement from genmodel
Generation,113863,Christian Damus,cdamus,vramaswamy,264 LOC,Remove Logical Resource Tests from JUnit Suite
Runtime Diagram,113892,Christian Vogt,cvogt,vramaswamy,931 LOC,Integration of the EMF dynamic references for reverse reference lookup
Generation,113979,Wayne Diu,wdiu,ahunter,318 LOC,Examples need printing global actions setup
Generation,113991,Chris McGee,cmcgee,vramaswamy,8 LOC,Support displaying a common dialog for live validation messages
